classification,country,country_code,year,afford_energy,afford_nutrient,afford_healthy,pct_cannot_afford_energy,pct_cannot_afford_nutrient,pct_cannot_afford_healthy
Food Prices for Nutrition 2.1,Brazil,BRA,2017.0,0.191,0.599,0.634,3.5,18.1,19.6
Food Prices for Nutrition 2.1,Bulgaria,BGR,2017.0,0.077,0.422,0.576,0.3,6.3,10.6
Food Prices for Nutrition 2.1,Burundi,BDI,2017.0,0.808,1.814,3.412,41.5,84.1,95.8
Food Prices for Nutrition 2.1,Canada,CAN,2017.0,0.106,0.333,0.451,0.0,0.5,0.7
Food Prices for Nutrition 2.1,Chile,CHL,2017.0,0.104,0.35,0.491,0.2,1.6,4.6
Food Prices for Nutrition 2.1,China,CHN,2017.0,0.308,0.767,0.935,0.2,9.7,16.6
Food Prices for Nutrition 2.1,Colombia,COL,2017.0,0.223,0.569,0.645,3.5,20.3,24.8
Food Prices for Nutrition 2.1,"Congo, Dem. Rep.",COD,2017.0,0.36,1.318,1.878,28.0,87.0,94.2
Food Prices for Nutrition 2.1,Costa Rica,CRI,2017.0,0.158,0.458,0.642,0.7,7.8,16.0
Food Prices for Nutrition 2.1,Côte d'Ivoire,CIV,2017.0,0.258,0.513,1.038,7.7,37.7,76.6
Food Prices for Nutrition 2.1,Croatia,HRV,2017.0,0.077,0.371,0.481,0.3,3.3,6.1
Food Prices for Nutrition 2.1,Cyprus,CYP,2017.0,0.095,0.34,0.468,0.0,0.1,0.1
Food Prices for Nutrition 2.1,Czech Republic,CZE,2017.0,0.058,0.313,0.384,0.0,0.1,0.2
Food Prices for Nutrition 2.1,Denmark,DNK,2017.0,0.044,0.253,0.348,0.1,0.2,0.2
Food Prices for Nutrition 2.1,Djibouti,DJI,2017.0,0.257,1.026,1.167,5.6,59.0,65.8
Food Prices for Nutrition 2.1,Dominican Republic,DOM,2017.0,0.152,0.371,0.455,1.3,15.8,24.9
Food Prices for Nutrition 2.1,East Asia & Pacific,EAS,2017.0,0.174,0.488,0.685,1.1,16.4,26.1
Food Prices for Nutrition 2.1,Ecuador,ECU,2017.0,0.314,0.586,0.65,4.4,14.8,17.6
Food Prices for Nutrition 2.1,Estonia,EST,2017.0,0.05,0.304,0.372,0.2,0.8,1.0
Food Prices for Nutrition 2.1,Eswatini,SWZ,2017.0,0.153,0.368,0.562,26.6,64.4,77.1
Food Prices for Nutrition 2.1,Ethiopia,ETH,2017.0,0.508,1.411,2.188,7.7,62.7,85.8
Food Prices for Nutrition 2.1,Europe & Central Asia,ECS,2017.0,0.078,0.309,0.406,0.2,2.0,3.8
